Date,Player1,Opponent
2024-11-29,344,510
2024-11-29,21,44
2024-11-29,143,457
2024-11-22,03,66
2024-11-22,776,644
2024-11-22,12,66
2024-10-24,13,66
2024-10-24,11,66
2024-10-24,3,8
2024-09-27,01,66
2024-09-11,00,66
2024-09-11,66,44
2024-05-28,32,66
2024-04-28,10,66
2024-04-28,34,66
2024-04-19,0,6
2024-04-19,1,6
2024-04-19,10,66
2024-04-12,10,66
2024-02-04,21,66
2024-02-04,21,66
2024-02-04,00,66
2024-02-04,41,66
2024-01-12,0,6
2024-01-12,1,6
2024-01-12,1,6
2023-12-10,3604,62110
2023-09-10,20,66
2023-09-10,01,66
2023-09-10,02,66
2023-08-25,2,6
2023-08-25,2,6
2023-08-25,4,6
2023-08-25,1,6
2023-05-14,42,66
2023-05-14,00,66
2023-04-30,00,66
2023-04-30,20,66
2023-04-30,00,66
2023-04-07,0,6
2023-04-07,2,6
2023-04-07,6,3
2023-03-05,10,66
2023-03-05,01,66
2023-02-12,66,42
2023-02-12,02,66
2023-02-12,00,66
2023-02-12,66,34
2023-01-29,00,44
2023-01-29,00,44
2023-01-13,0,8
2023-01-13,0,8
2022-12-11,10,66
2022-12-11,21,66
2022-11-25,0,4
2022-11-25,1,4
2022-11-25,0,4
2022-11-25,0,4
2022-11-25,2,4
2022-11-20,00,66
2022-11-20,24,66
2022-11-20,20,66
2022-11-06,53,76
2022-09-11,00,66
2022-09-11,5600,72110
2022-09-11,3,6
2022-08-05,0,6
2022-08-05,1,6
2022-05-14,3,6
2022-04-02,00,44
2022-04-01,00,44
2022-04-01,00,44
2022-03-27,0,8
2022-03-27,00,66
2022-02-27,0,8
2022-02-27,31,66
2022-02-13,00,66
2022-02-12,00,66
2022-02-13,31,66
2022-02-12,02,66
2022-01-14,0,6
2022-01-14,1,6
2022-01-14,0,6
